"id","correct_name"
"2016/23/N/ST7/01361","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/23/D/ST6/01389","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/23/D/ST7/00488","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2017/25/B/HS4/01617","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2014/15/B/ST8/02315","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/19/N/ST7/01204","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2017/27/B/ST7/03082","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2018/29/N/ST6/00143","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2018/29/N/ST7/02770","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2018/31/N/ST7/03977","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2019/32/T/ST6/00065","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/09/B/ST7/01627","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/01/B/ST8/04046","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/01/B/ST5/06592","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/02/A/ST5/00447","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/09/B/ST5/01223","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/03/N/ST5/04785","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2012/05/D/ST5/00472","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2012/05/E/ST5/03772","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2012/07/B/ST8/03109","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2012/07/N/ST5/00171","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/08/T/ST5/00100","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2014/12/T/ST5/00267","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/19/B/ST8/00871","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/19/D/ST8/00839","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/21/N/ST8/00268","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/21/N/ST8/01319","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/21/N/ST8/03720","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/21/D/ST5/01658","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/23/B/ST8/00199","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/23/N/ST8/00357","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2017/24/C/ST8/00204","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2017/25/B/ST5/01032","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/17/N/ST8/01185","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/19/B/ST8/00856","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/01/B/ST8/07394","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/01/B/ST10/07127","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/03/B/ST3/00240","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/01/D/ST8/07399","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2012/05/B/ST3/03241","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/01/N/NZ5/00919","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
