"id","subpanel","descriptors","descriptors_raw"
"2011/01/B/HS1/00522","HS1","HS1_7","HS1_7: Etyka normatywna i opisowa, teoria moralności, bioetyka, etyka zawodowa"
"2011/01/B/HS1/00522","HS1","HS6_1","HS6_1: Psychologia ogólna (w tym: procesów poznawczych, emocji, motywacji, osobowości, różnic indywidualnych), psychologia eksperymentalna, psycholingwistyka"
"2011/03/B/HS3/00769","HS3","HS3_1","HS3_1: Historia epok dawnych (starożytna, średniowieczna, wczesnonowożytna), historia nowożytna i najnowsza (XIX-XX w.)"
"2011/03/B/HS3/00769","HS3","HS3_6","HS3_6: Historiografia, teoria i metodologia historii"
"2011/03/B/HS3/00769","HS3","HS3_5","HS3_5: Historia kultury (w tym: pamięć historyczna, historia kultury materialnej, historia architektury, historyczne studia kulturowe, zróżnicowanie kulturowe)"
"2011/01/B/HS1/00559","HS1","HS1_1","HS1_1: Historia filozofii (starożytnej, średniowiecznej, nowożytnej i współczesnej) i historia idei"
"2011/01/B/HS1/00559","HS1","HS1_5","HS1_5: Filozofia człowieka, teorie osoby, filozofia kultury, filozofia społeczna"
"2011/01/B/HS1/00559","HS1","HS1_6","HS1_6: Natura ludzkiego umysłu (w tym: ewolucja umysłu, bio-psychologiczne uwarunkowania poznania, sztuczna inteligencja)"
"2011/01/B/NZ7/04370","NZ7","NZ7_1","NZ7_1: Epidemiologia"
"2011/01/B/NZ7/04370","NZ7","NZ7_12","NZ7_12: Inne zagadnienia pokrewne"
"2011/01/B/HS1/00771","HS1","HS1_14","HS1_14: Teologia dogmatyczna, teologia biblijna, patrystyka"
"2011/01/B/HS2/01335","HS2","HS2_2","HS2_2: Teoria literatury, historia myśli literaturoznawczej, metody i orientacje badań literacko-kulturowych, antropologia literatury, komparatystyka i translatologia literacko-kulturowa"
"2011/01/B/HS2/01335","HS2","HS2_1","HS2_1: Historia literatury (w tym: starożytnej, nowożytnej, współczesnej; narodowej, światowej) oraz krytyka i interpretacja literacka"
"2011/01/B/HS2/01335","HS2","HS2_8","HS2_8: Historia i teoria sztuki, sztuki plastyczne, kultura wizualna"
"2011/01/B/HS1/00944","HS1","HS1_4","HS1_4: Logika, metodologia nauk, filozofia nauki"
"2011/01/B/HS1/00944","HS1","ST1_1","ST1_1: Logika i podstawy matematyki"
"2011/01/B/HS1/00944","HS1","ST1_2","ST1_2: Algebra"
"2011/01/B/ST10/04440","ST10","ST10_10","ST10_10: Mineralogia, petrologia"
"2011/01/B/ST10/04440","ST10","HS3_8","HS3_8: Archeologia ( w tym: archeologia Grecji i Rzymu; archeologia Egiptu i Nubii, archeologia Bliskiego Wschodu, archeologia Nowego Świata, archeologia pradziejowa, archeologia protohistoryczna, archeologia wczesnośredniowieczna, archeologia średniowieczna i nowożytna)"
"2011/01/B/HS1/00954","HS1","HS1_10","HS1_10: Religia i jej uwarunkowania: antropologiczne, kulturowe, socjo-psychologiczne"
"2011/01/B/HS1/00954","HS1","HS1_12","HS1_12: Religie świata"
"2011/01/B/ST8/04926","ST8","ST8_6","ST8_6: Systemy energetyczne (produkcja, dystrybucja i zastosowania)"
"2011/01/B/ST8/04926","ST8","ST6_9","ST6_9: Obliczenia naukowe"
"2011/01/B/HS1/00996","HS1","HS5_6","HS5_6: Teoria polityki i myśl polityczna"
"2011/03/B/HS4/05681","HS4","HS4_2","HS4_2: Mikroekonomia i ekonomia instytucjonalna"
"2011/03/B/HS4/05681","HS4","HS4_13","HS4_13: Geografia ekonomiczna"
"2011/03/B/HS4/05681","HS4","HS4_9","HS4_9: Zarządzanie zasobami ludzkimi, zatrudnienie i płace"
"2011/01/B/HS1/01018","HS1","HS1_1","HS1_1: Historia filozofii (starożytnej, średniowiecznej, nowożytnej i współczesnej) i historia idei"
"2011/01/B/HS5/00524","HS5","HS5_7","HS5_7: Systemy i ruchy polityczne oraz stosunki międzynarodowe"
"2011/01/B/HS5/00524","HS5","HS5_10","HS5_10: Inne zagadnienia pokrewne"
"2011/01/B/HS5/00524","HS5","HS5_2","HS5_2: Prawo konstytucyjne, prawa człowieka, prawo i instytucje międzynarodowe"
"2011/01/B/HS1/01536","HS1","HS1_10","HS1_10: Religia i jej uwarunkowania: antropologiczne, kulturowe, socjo-psychologiczne"
"2011/01/B/HS2/01144","HS2","HS2_5","HS2_5: Historia języka i dialektologia, badania współczesnego języka i analiza dyskursu, tekstologia i translatologia lingwistyczna"
"2011/01/B/HS2/01144","HS2","HS2_6","HS2_6: Językoznawstwo ogólne i porównawcze, teoria języka i teoria komunikacji, metody badań lingwistycznych (w tym: socjo-, etno-, psycho -i pragmalingwistyka), lingwistyka komputerowa;"
"2011/01/B/HS1/01728","HS1","HS1_8","HS1_8: Estetyka (w tym: teorie piękna, język sztuki)"
"2011/01/B/HS1/01728","HS1","HS2_14","HS2_14: Kulturoznawstwo (w tym: współczesne studia kulturowe i antropologiczno-kulturowe)"
"2011/01/B/HS1/01728","HS1","HS3_5","HS3_5: Historia kultury (w tym: pamięć historyczna, historia kultury materialnej, historia architektury, historyczne studia kulturowe, zróżnicowanie kulturowe)"
"2011/01/B/NZ9/00218","NZ9","NZ9_7","NZ9_7: Naukowe podstawy żywienia i badania żywności"
"2011/01/B/HS1/01791","HS1","HS3_1","HS3_1: Historia epok dawnych (starożytna, średniowieczna, wczesnonowożytna), historia nowożytna i najnowsza (XIX-XX w.)"
"2011/01/B/HS1/01791","HS1","HS3_5","HS3_5: Historia kultury (w tym: pamięć historyczna, historia kultury materialnej, historia architektury, historyczne studia kulturowe, zróżnicowanie kulturowe)"
"2011/01/B/HS1/01791","HS1","HS1_9","HS1_9: Teorie religii, historia religii, nauki religioznawcze"
"2011/01/B/ST10/06985","ST10","ST10_8","ST10_8: Oceanologia (fizyczna, chemiczna, biologiczna)"
"2011/01/B/HS1/01927","HS1","HS1_2","HS1_2: Ontologia i metafizyka, ontologie szczegółowe"
"2011/01/B/HS1/01927","HS1","HS1_6","HS1_6: Natura ludzkiego umysłu (w tym: ewolucja umysłu, bio-psychologiczne uwarunkowania poznania, sztuczna inteligencja)"
"2011/01/B/HS1/01927","HS1","ST6_5","ST6_5: Interakcja człowiek – komputer"
"2011/01/B/NZ6/00277","NZ6","NZ6_1","NZ6_1: Odporność swoista i nieswoista"
"2011/01/B/NZ6/00277","NZ6","NZ1_2","NZ1_2: Biochemia"
"2011/01/B/NZ6/00277","NZ6","NZ6_2","NZ6_2: Immunologia kliniczna"
"2011/01/B/HS1/03910","HS1","HS1_4","HS1_4: Logika, metodologia nauk, filozofia nauki"
"2011/01/B/HS4/02328","HS4","HS4_3","HS4_3: Ekonometria i metody statystyczne"
"2011/01/B/HS1/04004","HS1","HS1_10","HS1_10: Religia i jej uwarunkowania: antropologiczne, kulturowe, socjo-psychologiczne"
"2011/01/B/HS5/04619","HS5","HS5_2","HS5_2: Prawo konstytucyjne, prawa człowieka, prawo i instytucje międzynarodowe"
"2011/01/B/HS1/04014","HS1","HS1_1","HS1_1: Historia filozofii (starożytnej, średniowiecznej, nowożytnej i współczesnej) i historia idei"
"2011/01/B/HS4/00970","HS4","HS4_11","HS4_11: Warunki i jakość życia, dochody, ubóstwo"
"2011/01/B/HS4/00970","HS4","HS4_7","HS4_7: Ekonomia behawioralna, konsumpcja i zachowania konsumentów, marketing"
"2011/01/B/HS1/04023","HS1","HS1_4","HS1_4: Logika, metodologia nauk, filozofia nauki"
"2011/01/B/ST5/03870","ST5","ST5_10","ST5_10: Nanomateriały: nanocząstki, nanorurki"
"2011/01/B/ST5/03870","ST5","ST4_6","ST4_6: Chemia analityczna"
"2011/01/B/ST5/03870","ST5","ST4_3","ST4_3: Metody spektroskopowe i spektrometryczne"
"2011/01/B/HS1/04029","HS1","ST1_1","ST1_1: Logika i podstawy matematyki"
"2011/01/B/HS1/04029","HS1","HS1_3","HS1_3: Epistemologia (w tym: źródła poznania, kryteria prawdy, filozofia języka)"
"2011/01/B/HS1/04029","HS1","HS6_1","HS6_1: Psychologia ogólna (w tym: procesów poznawczych, emocji, motywacji, osobowości, różnic indywidualnych), psychologia eksperymentalna, psycholingwistyka"
"2011/01/B/HS4/01056","HS4","HS4_5","HS4_5: Ludność, gospodarka, rozwój społeczno-ekonomiczny, rozwój zrównoważony"
"2011/01/B/HS4/01056","HS4","HS4_1","HS4_1: Makroekonomia (w tym: równowaga ekonomiczna, wzrost gospodarczy, wahania koniunkturalne w globalnej gospodarce);"
"2011/01/B/HS4/01056","HS4","HS4_2","HS4_2: Mikroekonomia i ekonomia instytucjonalna"
"2011/01/B/HS1/04283","HS1","HS1_1","HS1_1: Historia filozofii (starożytnej, średniowiecznej, nowożytnej i współczesnej) i historia idei"
"2011/01/B/HS1/04283","HS1","HS1_2","HS1_2: Ontologia i metafizyka, ontologie szczegółowe"
"2011/01/B/HS6/05853","HS6","HS6_1","HS6_1: Psychologia ogólna (w tym: procesów poznawczych, emocji, motywacji, osobowości, różnic indywidualnych), psychologia eksperymentalna, psycholingwistyka"
"2011/01/B/HS1/04462","HS1","HS1_6","HS1_6: Natura ludzkiego umysłu (w tym: ewolucja umysłu, bio-psychologiczne uwarunkowania poznania, sztuczna inteligencja)"
"2011/01/B/HS1/04462","HS1","HS6_5","HS6_5: Psychologia ewolucyjna i porównawcza, genetyka zachowania, psychofizjologia, neuropsychologia"
"2011/01/B/HS1/04462","HS1","HS1_3","HS1_3: Epistemologia (w tym: źródła poznania, kryteria prawdy, filozofia języka)"
"2011/01/B/HS6/00412","HS6","HS6_1","HS6_1: Psychologia ogólna (w tym: procesów poznawczych, emocji, motywacji, osobowości, różnic indywidualnych), psychologia eksperymentalna, psycholingwistyka"
"2011/01/B/HS6/00412","HS6","HS6_2","HS6_2: Psychologia społeczna, polityczna, środowiskowa i międzykulturowa"
"2011/01/B/HS1/04572","HS1","HS1_1","HS1_1: Historia filozofii (starożytnej, średniowiecznej, nowożytnej i współczesnej) i historia idei"
"2011/03/B/HS3/00535","HS3","HS3_7","HS3_7: Archiwistyka"
"2011/01/B/HS1/05416","HS1","HS1_6","HS1_6: Natura ludzkiego umysłu (w tym: ewolucja umysłu, bio-psychologiczne uwarunkowania poznania, sztuczna inteligencja)"
"2011/01/B/HS5/02615","HS5","HS5_8","HS5_8: Polityka regionalna"
"2011/01/B/HS5/02615","HS5","HS5_9","HS5_9: Polityka społeczna (w tym: polityka dotycząca ludności, zagadnienia zabezpieczenia społecznego, tzw. trzeci sektor, pomoc społeczna, gerontologia społeczna, governance i instytucje dialogu społecznego)"
"2011/01/B/HS2/00505","HS2","HS2_5","HS2_5: Historia języka i dialektologia, badania współczesnego języka i analiza dyskursu, tekstologia i translatologia lingwistyczna"
"2011/01/B/HS2/00505","HS2","HS2_6","HS2_6: Językoznawstwo ogólne i porównawcze, teoria języka i teoria komunikacji, metody badań lingwistycznych (w tym: socjo-, etno-, psycho -i pragmalingwistyka), lingwistyka komputerowa;"
"2011/01/B/HS2/00505","HS2","HS3_12","HS3_12: Dziedzictwo kulturowe (w tym: inwentaryzacja pamiątek i zabytków kultury, aktywność regionalistyczna)"
"2011/01/B/HS4/04735","HS4","HS4_1","HS4_1: Makroekonomia (w tym: równowaga ekonomiczna, wzrost gospodarczy, wahania koniunkturalne w globalnej gospodarce);"
"2011/01/B/HS2/00964","HS2","HS2_2","HS2_2: Teoria literatury, historia myśli literaturoznawczej, metody i orientacje badań literacko-kulturowych, antropologia literatury, komparatystyka i translatologia literacko-kulturowa"
"2011/03/B/HS4/05092","HS4","HS4_6","HS4_6: Rynki finansowe, bankowość, finanse przedsiębiorstw"
"2011/03/B/HS4/05092","HS4","HS4_3","HS4_3: Ekonometria i metody statystyczne"
"2011/01/B/HS2/01095","HS2","HS2_13","HS2_13: Filmoznawstwo i media audiowizualne"
"2011/01/B/HS5/00731","HS5","HS5_2","HS5_2: Prawo konstytucyjne, prawa człowieka, prawo i instytucje międzynarodowe"
"2011/01/B/HS2/01120","HS2","HS3_3","HS3_3: Historia polityczna (w tym ustroju)"
"2011/01/B/HS2/01120","HS2","HS6_15","HS6_15: Socjologia idei, władzy, norm, organizacji"
"2011/01/B/HS2/06117","HS2","HS6_15","HS6_15: Socjologia idei, władzy, norm, organizacji"
"2011/01/B/HS2/06117","HS2","HS1_5","HS1_5: Filozofia człowieka, teorie osoby, filozofia kultury, filozofia społeczna"
"2011/01/B/HS2/01154","HS2","HS2_1","HS2_1: Historia literatury (w tym: starożytnej, nowożytnej, współczesnej; narodowej, światowej) oraz krytyka i interpretacja literacka"
"2011/01/B/ST10/05384","ST10","ST9_16","ST9_16: Badania Ziemi i otoczenia w wykorzystaniem technik satelitarnych"
"2011/01/B/ST10/05384","ST10","ST10_15","ST10_15: Geodezja, kartografia, Geograficzny System Informacji, teledetekcja"
"2011/01/B/HS2/01168","HS2","HS2_12","HS2_12: Teatrologia i sztuki performatywne (aktorstwo, taniec i in.)"
"2011/01/B/HS2/01168","HS2","HS2_11","HS2_11: Muzyka (twórczość, wykonawstwo, teoria muzyki), muzykologia"
"2011/01/B/ST3/00506","ST3","ST3_1","ST3_1: Struktura ciał stałych i płynów"
"2011/01/B/ST3/00506","ST3","ST2_16","ST2_16: Metrologia i metody pomiarowe"
"2011/01/B/HS2/01190","HS2","HS2_2","HS2_2: Teoria literatury, historia myśli literaturoznawczej, metody i orientacje badań literacko-kulturowych, antropologia literatury, komparatystyka i translatologia literacko-kulturowa"
"2011/01/B/HS2/01190","HS2","HS2_1","HS2_1: Historia literatury (w tym: starożytnej, nowożytnej, współczesnej; narodowej, światowej) oraz krytyka i interpretacja literacka"
"2011/01/B/HS2/01190","HS2","HS2_14","HS2_14: Kulturoznawstwo (w tym: współczesne studia kulturowe i antropologiczno-kulturowe)"
"2011/01/B/HS2/01704","HS2","HS2_1","HS2_1: Historia literatury (w tym: starożytnej, nowożytnej, współczesnej; narodowej, światowej) oraz krytyka i interpretacja literacka"
"2011/01/B/HS2/01704","HS2","HS2_2","HS2_2: Teoria literatury, historia myśli literaturoznawczej, metody i orientacje badań literacko-kulturowych, antropologia literatury, komparatystyka i translatologia literacko-kulturowa"
"2011/01/B/HS2/01704","HS2","HS2_3","HS2_3: Studia edytorsko-filologiczne, słownikowo-encyklopedyczne, dokumentacyjno-bibliograficzne"
"2011/01/B/HS2/01198","HS2","HS2_8","HS2_8: Historia i teoria sztuki, sztuki plastyczne, kultura wizualna"
"2011/01/B/HS2/01198","HS2","HS2_11","HS2_11: Muzyka (twórczość, wykonawstwo, teoria muzyki), muzykologia"
"2011/01/B/HS2/01198","HS2","HS2_12","HS2_12: Teatrologia i sztuki performatywne (aktorstwo, taniec i in.)"
