"id","subpanel","descriptors","descriptors_raw"
"2011/01/B/ST9/05437","ST9","ST9_13","ST9_13: Ciemna materia, ciemna energia"
"2011/01/B/ST9/05437","ST9","ST9_15","ST9_15: Kosmologia"
"2011/01/B/ST9/05437","ST9","ST9_12","ST9_12: Astrofizyka relatywistyczna - procesy wokół obiektów zwartych (białych karłów, gwiazd neutronowych i czarnych dziur)"
"2011/01/B/HS2/01293","HS2","HS2_6","HS2_6: Językoznawstwo ogólne i porównawcze, teoria języka i teoria komunikacji, metody badań lingwistycznych (w tym: socjo-, etno-, psycho -i pragmalingwistyka), lingwistyka komputerowa;"
"2011/01/B/HS4/03397","HS4","HS5_9","HS5_9: Polityka społeczna (w tym: polityka dotycząca ludności, zagadnienia zabezpieczenia społecznego, tzw. trzeci sektor, pomoc społeczna, gerontologia społeczna, governance i instytucje dialogu społecznego)"
"2011/01/B/HS4/03397","HS4","HS4_10","HS4_10: Gospodarka publiczna, infrastruktura społeczna, administracja publiczna"
"2011/01/B/HS4/03397","HS4","HS4_13","HS4_13: Geografia ekonomiczna"
"2011/01/B/HS2/01298","HS2","HS2_13","HS2_13: Filmoznawstwo i media audiowizualne"
"2011/01/B/HS4/05903","HS4","HS4_13","HS4_13: Geografia ekonomiczna"
"2011/01/B/HS4/05903","HS4","HS5_8","HS5_8: Polityka regionalna"
"2011/01/B/HS4/05903","HS4","HS3_11","HS3_11: Etnografia i antropologia kulturowa (w tym: opis kultur tradycyjnych, antropologia magii, kultu i religii, zmiana kulturowa i procesy globalistyczne, antropologia zjawisk społeczno-kulturowych, etnicznych i tożsamościowych)"
"2011/01/B/HS2/01320","HS2","HS2_3","HS2_3: Studia edytorsko-filologiczne, słownikowo-encyklopedyczne, dokumentacyjno-bibliograficzne"
"2011/01/B/HS2/01320","HS2","HS2_6","HS2_6: Językoznawstwo ogólne i porównawcze, teoria języka i teoria komunikacji, metody badań lingwistycznych (w tym: socjo-, etno-, psycho -i pragmalingwistyka), lingwistyka komputerowa;"
"2011/01/B/HS2/01320","HS2","HS3_5","HS3_5: Historia kultury (w tym: pamięć historyczna, historia kultury materialnej, historia architektury, historyczne studia kulturowe, zróżnicowanie kulturowe)"
"2011/01/B/HS4/04743","HS4","HS4_3","HS4_3: Ekonometria i metody statystyczne"
"2011/01/B/HS2/04723","HS2","HS2_11","HS2_11: Muzyka (twórczość, wykonawstwo, teoria muzyki), muzykologia"
"2011/01/B/HS2/01616","HS2","HS2_1","HS2_1: Historia literatury (w tym: starożytnej, nowożytnej, współczesnej; narodowej, światowej) oraz krytyka i interpretacja literacka"
"2011/01/B/HS2/01616","HS2","HS2_2","HS2_2: Teoria literatury, historia myśli literaturoznawczej, metody i orientacje badań literacko-kulturowych, antropologia literatury, komparatystyka i translatologia literacko-kulturowa"
"2011/01/B/HS2/01616","HS2","HS2_3","HS2_3: Studia edytorsko-filologiczne, słownikowo-encyklopedyczne, dokumentacyjno-bibliograficzne"
"2011/01/B/HS5/05372","HS5","HS5_4","HS5_4: Prawo karne"
"2011/01/B/HS5/05372","HS5","HS5_3","HS5_3: Prawo publiczne i socjalne, nauka o administracji"
"2011/01/B/HS2/01651","HS2","HS2_11","HS2_11: Muzyka (twórczość, wykonawstwo, teoria muzyki), muzykologia"
"2011/01/B/HS2/01651","HS2","HS2_13","HS2_13: Filmoznawstwo i media audiowizualne"
"2011/01/B/HS4/03233","HS4","HS4_12","HS4_12: Międzynarodowe stosunki gospodarcze"
"2011/01/B/HS4/03233","HS4","HS4_5","HS4_5: Ludność, gospodarka, rozwój społeczno-ekonomiczny, rozwój zrównoważony"
"2011/01/B/HS6/04691","HS6","HS6_14","HS6_14: Struktura i dynamika społeczna"
"2011/01/B/HS6/04691","HS6","HS6_15","HS6_15: Socjologia idei, władzy, norm, organizacji"
"2011/01/B/HS2/01789","HS2","HS2_11","HS2_11: Muzyka (twórczość, wykonawstwo, teoria muzyki), muzykologia"
"2011/01/B/HS4/02609","HS4","HS4_5","HS4_5: Ludność, gospodarka, rozwój społeczno-ekonomiczny, rozwój zrównoważony"
"2011/01/B/HS4/02609","HS4","HS4_13","HS4_13: Geografia ekonomiczna"
"2011/01/B/HS4/02609","HS4","HS1_10","HS1_10: Religia i jej uwarunkowania: antropologiczne, kulturowe, socjo-psychologiczne"
"2011/01/B/HS2/01840","HS2","HS2_8","HS2_8: Historia i teoria sztuki, sztuki plastyczne, kultura wizualna"
"2011/01/B/HS2/01840","HS2","HS1_5","HS1_5: Filozofia człowieka, teorie osoby, filozofia kultury, filozofia społeczna"
"2011/01/B/HS2/01840","HS2","HS2_14","HS2_14: Kulturoznawstwo (w tym: współczesne studia kulturowe i antropologiczno-kulturowe)"
"2011/01/B/HS4/00508","HS4","HS4_9","HS4_9: Zarządzanie zasobami ludzkimi, zatrudnienie i płace"
"2011/01/B/HS2/02082","HS2","HS2_1","HS2_1: Historia literatury (w tym: starożytnej, nowożytnej, współczesnej; narodowej, światowej) oraz krytyka i interpretacja literacka"
"2011/01/B/HS2/02082","HS2","HS2_3","HS2_3: Studia edytorsko-filologiczne, słownikowo-encyklopedyczne, dokumentacyjno-bibliograficzne"
"2011/03/B/HS5/03473","HS5","HS5_7","HS5_7: Systemy i ruchy polityczne oraz stosunki międzynarodowe"
"2011/01/B/HS2/02092","HS2","HS2_2","HS2_2: Teoria literatury, historia myśli literaturoznawczej, metody i orientacje badań literacko-kulturowych, antropologia literatury, komparatystyka i translatologia literacko-kulturowa"
"2011/01/B/HS2/02092","HS2","HS2_1","HS2_1: Historia literatury (w tym: starożytnej, nowożytnej, współczesnej; narodowej, światowej) oraz krytyka i interpretacja literacka"
"2011/01/B/HS2/02092","HS2","HS2_14","HS2_14: Kulturoznawstwo (w tym: współczesne studia kulturowe i antropologiczno-kulturowe)"
"2011/03/B/HS1/00930","HS1","HS1_11","HS1_11: Język religii, sacrum, mit, symbolika religijna"
"2011/01/B/HS2/02161","HS2","HS2_8","HS2_8: Historia i teoria sztuki, sztuki plastyczne, kultura wizualna"
"2011/01/B/HS2/02161","HS2","HS3_11","HS3_11: Etnografia i antropologia kulturowa (w tym: opis kultur tradycyjnych, antropologia magii, kultu i religii, zmiana kulturowa i procesy globalistyczne, antropologia zjawisk społeczno-kulturowych, etnicznych i tożsamościowych)"
"2011/01/B/HS5/00965","HS5","HS5_2","HS5_2: Prawo konstytucyjne, prawa człowieka, prawo i instytucje międzynarodowe"
"2011/01/B/HS2/02351","HS2","HS2_11","HS2_11: Muzyka (twórczość, wykonawstwo, teoria muzyki), muzykologia"
"2011/01/B/HS2/03201","HS2","HS1_10","HS1_10: Religia i jej uwarunkowania: antropologiczne, kulturowe, socjo-psychologiczne"
"2011/01/B/HS2/03201","HS2","HS3_5","HS3_5: Historia kultury (w tym: pamięć historyczna, historia kultury materialnej, historia architektury, historyczne studia kulturowe, zróżnicowanie kulturowe)"
"2011/01/B/HS2/03201","HS2","HS2_4","HS2_4: Bibliologia i informatologia"
"2011/01/B/HS2/02425","HS2","HS2_10","HS2_10: Muzealnictwo"
"2011/01/B/HS2/02425","HS2","HS2_8","HS2_8: Historia i teoria sztuki, sztuki plastyczne, kultura wizualna"
"2011/01/B/ST4/00665","ST4","ST4_5","ST4_5: Chemia i fizykochemia powierzchni"
"2011/01/B/ST4/00665","ST4","ST5_12","ST5_12: Materiały ""inteligentne"" – materiały samo organizujące się, materiały reagujące na bodźce zewnętrzne"
"2011/01/B/ST4/00665","ST4","ST5_4","ST5_4: Cienkie warstwy"
"2011/01/B/HS2/02479","HS2","HS2_6","HS2_6: Językoznawstwo ogólne i porównawcze, teoria języka i teoria komunikacji, metody badań lingwistycznych (w tym: socjo-, etno-, psycho -i pragmalingwistyka), lingwistyka komputerowa;"
"2011/01/B/NZ7/01497","NZ7","NZ7_2","NZ7_2: Zagrożenia środowiskowe"
"2011/01/B/NZ7/01497","NZ7","NZ7_12","NZ7_12: Inne zagadnienia pokrewne"
"2011/01/B/HS2/02586","HS2","HS2_9","HS2_9: Konserwatorstwo"
"2011/01/B/HS2/02586","HS2","HS2_10","HS2_10: Muzealnictwo"
"2011/01/B/ST7/01877","ST7","ST7_7","ST7_7: Przetwarzanie sygnałów"
"2011/01/B/HS2/02937","HS2","HS2_14","HS2_14: Kulturoznawstwo (w tym: współczesne studia kulturowe i antropologiczno-kulturowe)"
"2012/05/B/HS4/04196","HS4","HS4_12","HS4_12: Ekonomia międzynarodowa"
"2012/05/B/HS4/04196","HS4","HS4_2","HS4_2: Mikroekonomia i ekonomia instytucjonalna"
"2011/01/B/HS2/02992","HS2","HS2_2","HS2_2: Teoria literatury, historia myśli literaturoznawczej, metody i orientacje badań literacko-kulturowych, antropologia literatury, komparatystyka i translatologia literacko-kulturowa"
"2011/01/B/HS2/02992","HS2","HS2_1","HS2_1: Historia literatury (w tym: starożytnej, nowożytnej, współczesnej; narodowej, światowej) oraz krytyka i interpretacja literacka"
"2011/01/B/ST7/06706","ST7","ST7_11","ST7_11: Inżynieria biomedyczna"
"2011/01/B/ST7/06706","ST7","NZ5_5","NZ5_5: Diagnostyka chorób człowieka"
"2011/01/B/ST7/06706","ST7","ST5_19","ST5_19: Metody badań właściwości materiałów"
"2011/03/B/HS1/00476","HS1","HS1_5","HS1_5: Filozofia człowieka, teorie osoby, filozofia kultury, filozofia społeczna"
"2011/01/B/HS2/03280","HS2","HS1_1","HS1_1: Historia filozofii (starożytnej, średniowiecznej, nowożytnej i współczesnej) i historia idei"
"2011/01/B/HS2/03280","HS2","HS2_1","HS2_1: Historia literatury (w tym: starożytnej, nowożytnej, współczesnej; narodowej, światowej) oraz krytyka i interpretacja literacka"
"2011/01/B/ST6/06986","ST6","ST6_8","ST6_8: Systemy inteligentne"
"2011/01/B/HS2/03285","HS2","HS2_3","HS2_3: Studia edytorsko-filologiczne, słownikowo-encyklopedyczne, dokumentacyjno-bibliograficzne"
"2011/03/B/ST2/03694","ST2","ST2_3","ST2_3: Fizyka jądrowa"
"2011/03/B/ST2/03694","ST2","ST2_2","ST2_2: Fizyka cząstek elementarnych"
"2011/01/B/HS2/03292","HS2","HS2_2","HS2_2: Teoria literatury, historia myśli literaturoznawczej, metody i orientacje badań literacko-kulturowych, antropologia literatury, komparatystyka i translatologia literacko-kulturowa"
"2011/01/B/NZ8/03146","NZ8","ST10_18","ST10_18: Inne zagadnienia pokrewne"
"2011/01/B/HS2/03346","HS2","HS3_12","HS3_12: Dziedzictwo kulturowe (w tym: inwentaryzacja pamiątek i zabytków kultury, aktywność regionalistyczna)"
"2011/01/B/HS2/03346","HS2","HS1_11","HS1_11: Język religii, sacrum, mit, symbolika religijna"
"2011/01/B/HS2/03346","HS2","HS2_6","HS2_6: Językoznawstwo ogólne i porównawcze, teoria języka i teoria komunikacji, metody badań lingwistycznych (w tym: socjo-, etno-, psycho -i pragmalingwistyka), lingwistyka komputerowa;"
"2011/01/B/HS4/04718","HS4","HS4_11","HS4_11: Warunki i jakość życia, dochody, ubóstwo"
"2011/01/B/HS4/04718","HS4","HS4_1","HS4_1: Makroekonomia (w tym: równowaga ekonomiczna, wzrost gospodarczy, wahania koniunkturalne w globalnej gospodarce);"
"2011/01/B/HS4/04718","HS4","HS4_2","HS4_2: Mikroekonomia i ekonomia instytucjonalna"
"2011/01/B/HS2/03615","HS2","HS2_2","HS2_2: Teoria literatury, historia myśli literaturoznawczej, metody i orientacje badań literacko-kulturowych, antropologia literatury, komparatystyka i translatologia literacko-kulturowa"
"2011/01/B/HS2/03615","HS2","HS5_6","HS5_6: Teoria polityki i myśl polityczna"
"2011/01/B/HS2/03615","HS2","HS2_14","HS2_14: Kulturoznawstwo (w tym: współczesne studia kulturowe i antropologiczno-kulturowe)"
"2011/01/B/NZ8/01721","NZ8","NZ8_1","NZ8_1: Biologia ewolucyjna"
"2011/01/B/HS2/04503","HS2","HS2_8","HS2_8: Historia i teoria sztuki, sztuki plastyczne, kultura wizualna"
"2011/01/B/HS2/04503","HS2","HS1_8","HS1_8: Estetyka (w tym: teorie piękna, język sztuki)"
"2011/01/B/HS2/04503","HS2","HS2_13","HS2_13: Filmoznawstwo i media audiowizualne"
"2011/01/B/HS4/02809","HS4","HS4_3","HS4_3: Ekonometria i metody statystyczne"
"2011/01/B/HS4/02809","HS4","HS4_11","HS4_11: Warunki i jakość życia, dochody, ubóstwo"
"2011/01/B/HS4/02809","HS4","HS4_2","HS4_2: Mikroekonomia i ekonomia instytucjonalna"
"2011/01/B/HS2/04643","HS2","HS2_5","HS2_5: Historia języka i dialektologia, badania współczesnego języka i analiza dyskursu, tekstologia i translatologia lingwistyczna"
"2011/01/B/ST1/01305","ST1","ST1_13","ST1_13: Rachunek prawdopodobieństwa i statystyka matematyczna"
"2011/01/B/ST1/01305","ST1","ST1_18","ST1_18: Zastosowania matematyki w innych naukach"
"2011/01/B/HS2/04695","HS2","HS2_6","HS2_6: Językoznawstwo ogólne i porównawcze, teoria języka i teoria komunikacji, metody badań lingwistycznych (w tym: socjo-, etno-, psycho -i pragmalingwistyka), lingwistyka komputerowa;"
"2011/01/B/HS4/00841","HS4","HS4_8","HS4_8: Zarządzanie organizacjami, zarządzanie strategiczne"
